IDFrom	IDTo	Weight	Time
844	1154	1	1463661747
808	1162	1	1462336316
1162	1858	1	1462535395
359	453	1	1462911225
1387	1162	1	1462258555
453	1195	1	1463896696
1591	1591	1	1463757829
1195	453	1	1462233974
1162	872	1	1447677661
223	1162	1	1462467645
453	898	1	1463218395
715	1483	1	1462365379
715	822	1	1462365379
715	1785	1	1462365379
715	142	1	1462365379
715	1912	1	1462365379
715	279	1	1462365379
715	895	1	1462365379
715	293	1	1462365379
885	449	1	1462324756
885	1162	1	1462324756
885	1380	1	1462324756
228	1162	1	1461641334
5	1162	1	1461578575
1633	453	1	1461835184
1280	453	1	1463635033
1290	453	1	1463055158
1775	31	1	1463996910
1673	1830	1	1463461315
1162	2034	1	1461576213
1673	1887	1	1464075059
1162	1753	1	1442825033
1162	715	1	1462798692
715	205	1	1462538252
715	195	1	1462538252
715	453	1	1462538252
1331	715	1	1463068808
1331	453	1	1463068808
453	1079	1	1462924190
499	1162	1	1464102346
1002	1261	1	1462165628
1818	1673	1	1461564368
1912	386	1	1461672627
1912	1428	1	1461672627
1912	1380	1	1461672627
1912	246	1	1461672627
1912	1162	1	1461672627
1912	1309	1	1461672627
1629	1629	1	1463673758
1040	1380	1	1462191929
1040	1778	1	1462191929
1040	1162	1	1462191929
1040	449	1	1462191929
1162	1673	1	1462355027
1818	453	1	1463681344
693	453	1	1461818628
359	453	1	1462802431
453	56	1	1462855181
1162	1280	1	1461576150
1249	1162	1	1463199907
872	155	1	1463459618
872	453	1	1463459618
872	1673	1	1463056597
872	453	1	1463056597
1805	1162	1	1462161839
898	453	1	1462171822
905	1162	1	1462375600
905	898	1	1462375600
1040	1987	1	1461568271
1040	80	1	1461568271
1040	1309	1	1461568271
1040	1162	1	1461568271
1040	1380	1	1461568271
1125	453	1	1462214477
1629	1629	1	1462971167
453	898	1	1462352217
1331	715	1	1463587219
1331	453	1	1463587219
129	1162	1	1464009475
1162	693	1	1461588857
693	1835	1	1463631142
844	1154	1	1464070100
1673	453	1	1462863088
1290	453	1	1462512045
635	1673	1	1462370526
1629	1629	1	1462046151
1195	453	1	1462390101
1195	1887	1	1462390101
1554	1773	1	1462511641
1554	476	1	1462511641
1554	329	1	1462511641
1554	203	1	1462511641
1554	1993	1	1462511641
1162	763	1	1461680606
1160	1162	1	1463095228
453	898	1	1462365663
1852	1673	1	1461785095
137	1162	1	1463738428
459	1162	1	1462973414
453	1488	1	1462339534
1629	1629	1	1463677089
1290	453	1	1464001044
1162	1753	1	1462879924
1290	715	1	1461560609
424	872	1	1462963705
424	570	1	1462963705
424	453	1	1462963705
1622	80	1	1463133378
1622	1162	1	1463133378
872	155	1	1463457930
872	453	1	1463457930
1040	80	1	1462219635
1040	1448	1	1462219635
1040	1198	1	1462219635
1040	1309	1	1462219635
1040	1380	1	1462219635
1040	1162	1	1462219635
1040	1987	1	1462219635
1261	1261	1	1461779672
217	1154	1	1461743305
217	844	1	1461743305
512	1123	1	1461737602
512	465	1	1461737602
512	14	1	1461737602
512	1580	1	1461737602
512	1372	1	1461737602
512	642	1	1461737602
512	410	1	1461737602
512	797	1	1461737602
512	1880	1	1461737602
512	272	1	1461737602
512	165	1	1461737602
512	1326	1	1461737602
512	586	1	1461737602
512	855	1	1461737602
512	47	1	1461737602
512	203	1	1461737602
512	120	1	1461737602
512	1002	1	1461737602
512	453	1	1461737602
512	1022	1	1461737602
512	1993	1	1461737602
512	1900	1	1461737602
512	1590	1	1461737602
512	1261	1	1461737602
512	1797	1	1461737602
512	1591	1	1461737602
512	1434	1	1461737602
512	1674	1	1461737602
512	983	1	1461737602
512	306	1	1461737602
512	692	1	1461737602
512	1748	1	1461737602
512	329	1	1461737602
512	1969	1	1461737602
512	419	1	1461737602
512	559	1	1461737602
512	412	1	1461737602
512	1505	1	1461737602
512	820	1	1461737602
512	266	1	1461737602
512	1438	1	1461737602
512	217	1	1461737602
512	1471	1	1461737602
512	25	1	1461737602
512	457	1	1461737602
512	1526	1	1461737602
512	893	1	1461737602
512	1244	1	1461737602
512	24	1	1461737602
512	1982	1	1461737602
512	1444	1	1461737602
512	1182	1	1461737602
512	1845	1	1461737602
990	1162	1	1462360286
1629	1629	1	1462024285
453	1886	1	1462419520
872	453	1	1463487913
1123	453	1	1462956665
1040	1958	1	1462438165
1040	245	1	1462438165
1040	1001	1	1462438165
1040	731	1	1462438165
1040	80	1	1462438165
1040	1554	1	1462438165
1040	1061	1	1462438165
1040	246	1	1462438165
1040	994	1	1462438165
1040	1162	1	1462438165
1040	1396	1	1462438165
885	1598	1	1461857139
885	1912	1	1461857139
885	1309	1	1461857139
885	1162	1	1461857139
885	1380	1	1461857139
1447	453	1	1463741845
1629	1629	1	1463233337
2033	1961	1	1462266684
1040	430	1	1462453871
1040	1162	1	1462453871
1040	1380	1	1462453871
223	1162	1	1463967467
767	1162	1	1461901386
453	1673	1	1462429295
1162	693	1	1461829054
359	453	1	1462550521
137	1162	1	1462255715
1210	1280	1	1462957852
1162	1818	1	1463470942
885	449	1	1461983519
885	1162	1	1461983519
885	1380	1	1461983519
631	453	1	1461727957
844	1591	1	1463057057
844	844	1	1463057057
844	1113	1	1463057057
704	453	1	1462506563
263	1162	1	1462860112
453	2033	1	1463745545
453	898	1	1463110878
1673	453	1	1463133194
453	1954	1	1461556914
453	2033	1	1462297397
1249	1162	1	1463819602
1290	453	1	1461753574
1948	1154	1	1462288858
1673	56	1	1462965594
1353	1673	1	1463472427
1162	329	1	1463466641
1629	1629	1	1462466745
1162	1280	1	1462865061
1686	453	1	1462543426
885	1598	1	1462030326
885	1912	1	1462030326
885	1309	1	1462030326
885	1162	1	1462030326
885	1380	1	1462030326
844	1154	1	1462954712
844	946	1	1462954712
844	217	1	1462954712
1331	1591	1	1463587223
1331	900	1	1463587223
1331	1073	1	1463587223
1331	358	1	1463587223
1331	573	1	1463587223
1331	245	1	1463587223
1331	1161	1	1463587223
1331	453	1	1463587223
1331	410	1	1463587223
223	1162	1	1462295816
476	1773	1	1462511588
476	1993	1	1462511588
476	329	1	1462511588
476	203	1	1462511588
476	1554	1	1462511588
397	453	1	1463379987
1195	453	1	1462220946
1673	1830	1	1463462074
1162	1746	1	1426330164
1162	704	1	1462354121
129	1162	1	1462197959
1162	1280	1	1463468786
1858	453	1	1462817600
872	453	1	1463383541
453	693	1	1461553196
1725	1162	1	1463567854
1040	1699	1	1462804654
1040	1162	1	1462804654
1040	1380	1	1462804654
2033	1430	1	1462178904
2033	1961	1	1462178904
1880	1880	1	1463546453
1763	1162	1	1461824051
885	1912	1	1461670513
885	386	1	1461670513
885	1428	1	1461670513
885	1309	1	1461670513
885	1380	1	1461670513
885	1162	1	1461670513
885	246	1	1461670513
1629	1629	1	1463585191
453	179	1	1462465410
898	453	1	1463110847
898	1962	1	1463110847
1673	453	1	1461920329
499	1162	1	1462547142
898	453	1	1463230812
1040	430	1	1462009393
1040	1162	1	1462009393
1040	1380	1	1462009393
453	1280	1	1463405318
2033	453	1	1463460143
453	1524	1	1464107634
453	1924	1	1464107634
1160	1162	1	1462913519
1554	453	1	1463116546
693	453	1	1463668273
1040	80	1	1462283139
1040	1448	1	1462283139
1040	1198	1	1462283139
1040	1309	1	1462283139
1040	1380	1	1462283139
1040	1162	1	1462283139
1040	1987	1	1462283139
1162	1545	1	1462951323
1162	1633	1	1425647730
1622	2033	1	1463379677
1622	1162	1	1463379677
1591	31	1	1462341664
453	1590	1	1462973322
1162	1886	1	1462265238
1040	1882	1	1464155888
1040	1958	1	1464155888
1040	1162	1	1464155888
1040	1380	1	1464155888
1629	1629	1	1461962468
87	1162	1	1463637808
453	704	1	1462248279
453	1818	1	1463681396
1590	1280	1	1462973118
228	1162	1	1462421323
1162	898	1	1461924255
872	453	1	1462880295
1162	621	1	1424166791
367	1162	1	1462176564
453	715	1	1462860187
1981	1277	1	1463060260
359	453	1	1462379030
1040	80	1	1463564955
1040	1198	1	1463564955
1040	1987	1	1463564955
1040	1380	1	1463564955
1040	1162	1	1463564955
1040	1448	1	1463564955
1195	453	1	1463921820
1629	1629	1	1462442726
329	453	1	1462178627
1963	453	1	1462737819
1629	1629	1	1461845451
1162	1384	1	1463313291
279	715	1	1463947464
1195	1123	1	1462467563
1195	453	1	1462467563
1887	1673	1	1463568295
1887	453	1	1463568295
2033	56	1	1462780999
1805	1162	1	1463976217
1993	801	1	1463473422
763	453	1	1461836915
453	1924	1	1462860774
453	693	1	1463387134
1123	453	1	1462957777
1818	453	1	1461586647
885	1598	1	1463138185
885	1912	1	1463138185
885	1309	1	1463138185
885	1162	1	1463138185
885	1380	1	1463138185
1280	453	1	1461836554
5	1162	1	1461924902
1591	453	1	1463423869
1372	1372	1	1463625038
222	1732	1	1462270370
941	453	1	1462551370
1249	1162	1	1462331227
1162	155	1	1463470369
453	56	1	1462777356
1554	631	1	1462944468
1805	1162	1	1463544279
570	453	1	1462896631
453	1591	1	1463757891
1042	715	1	1461622198
1162	1753	1	1463687768
499	1162	1	1463324737
137	1162	1	1463035669
279	453	1	1463985000
763	453	1	1461678714
1763	1162	1	1463123647
1342	453	1	1461862795
453	1818	1	1463681257
453	1580	1	1461676530
1554	1773	1	1463460856
1554	1993	1	1463460856
1554	329	1	1463460856
1554	1753	1	1463460856
715	1483	1	1463905383
715	822	1	1463905383
715	1785	1	1463905383
715	142	1	1463905383
715	1912	1	1463905383
715	279	1	1463905383
715	895	1	1463905383
715	293	1	1463905383
1372	1372	1	1462933812
1040	1198	1	1462799243
1040	1448	1	1462799243
1040	80	1	1462799243
1040	1162	1	1462799243
1040	1380	1	1462799243
87	1162	1	1462255313
885	1912	1	1463572659
885	1309	1	1463572659
885	1380	1	1463572659
885	1598	1	1463572659
885	1162	1	1463572659
885	246	1	1463572659
453	715	1	1462203693
453	872	1	1462203693
453	1673	1	1462203693
1629	1629	1	1463150977
872	453	1	1462275703
1970	1162	1	1463648127
1	1988	1	1463949765
808	1162	1	1463459642
898	453	1	1462243835
715	1290	1	1461558473
1162	278	1	1462525903
87	1162	1	1463119861
444	1162	1	1461618744
217	1154	1	1461308915
217	844	1	1461308915
1622	155	1	1463592646
1622	1162	1	1463592646
2004	946	1	1463822124
2004	1526	1	1463822124
2004	844	1	1463822124
1162	937	1	1439883149
1162	1340	1	1462264080
369	453	1	1461854176
1948	1154	1	1462358851
1948	946	1	1462358851
1948	1526	1	1462358851
1388	453	1	1461859363
453	1280	1	1463632806
453	631	1	1463122691
1763	1162	1	1461737455
453	715	1	1462860253
1818	453	1	1464011117
1388	453	1	1462032129
1455	1162	1	1463999531
1629	1629	1	1462565994
1280	453	1	1462984453
1763	1162	1	1464067743
1326	1847	1	1462525193
1622	1162	1	1463053644
453	1280	1	1463294915
137	1162	1	1464001868
1963	453	1	1462564731
1162	369	1	1461839845
1290	453	1	1462968402
1162	872	1	1463466371
1763	1162	1	1463724604
1001	1162	1	1463139106
1162	1280	1	1463488958
5	1162	1	1462528981
179	453	1	1462465321
1948	1154	1	1462180281
1948	946	1	1462180281
1948	217	1	1462180281
1948	2004	1	1462180281
1673	453	1	1462437314
1195	453	1	1461677662
453	693	1	1463214822
885	449	1	1461804910
885	1162	1	1461804910
885	1380	1	1461804910
1629	1629	1	1463680833
1280	1753	1	1463568011
1040	80	1	1462279036
1040	1448	1	1462279036
1040	1198	1	1462279036
1040	1309	1	1462279036
1040	1380	1	1462279036
1040	1162	1	1462279036
1040	1987	1	1462279036
137	1162	1	1461652233
453	329	1	1462429247
1290	453	1	1464004945
1836	1818	1	1462292433
1545	453	1	1462940270
1629	1629	1	1461681845
1629	1629	1	1463000914
453	693	1	1461562275
740	740	1	1462441800
1629	1629	1	1462450987
223	1162	1	1462775092
1673	56	1	1462514884
1342	453	1	1462467568
1162	359	1	1464008532
1261	1261	1	1462477514
263	1162	1	1461909776
990	1162	1	1462972279
1	453	1	1463228978
1162	359	1	1463063631
1260	1162	1	1463216585
453	1524	1	1462363276
1622	2033	1	1463540732
1622	1162	1	1463540732
453	898	1	1463144037
1223	1223	1	1461592260
1590	453	1	1462973978
885	1912	1	1463659635
885	1309	1	1463659635
885	1380	1	1463659635
885	1598	1	1463659635
885	1162	1	1463659635
885	246	1	1463659635
1160	1162	1	1461708211
885	449	1	1462796892
885	1162	1	1462796892
885	1380	1	1462796892
1948	1154	1	1462355193
1948	946	1	1462355193
1948	1526	1	1462355193
1948	1948	1	1462355193
1331	1591	1	1463068812
1331	900	1	1463068812
1331	1073	1	1463068812
1331	358	1	1463068812
1331	573	1	1463068812
1331	245	1	1463068812
1331	1161	1	1463068812
1331	453	1	1463068812
1331	410	1	1463068812
1290	453	1	1462795357
1290	453	1	1462795645
1290	453	1	1462770528
137	1162	1	1463725822
453	1673	1	1463143610
1280	476	1	1463035132
1280	1554	1	1463035132
1280	1753	1	1463035132
1280	329	1	1463035132
1280	1993	1	1463035132
1280	1773	1	1463035132
885	1598	1	1461838894
885	1912	1	1461838894
885	1309	1	1461838894
885	1162	1	1461838894
885	1380	1	1461838894
1629	1629	1	1461772691
453	704	1	1463074735
1040	80	1	1462343530
1040	1448	1	1462343530
1040	1198	1	1462343530
1040	1309	1	1462343530
1040	1380	1	1462343530
1040	1162	1	1462343530
1040	1987	1	1462343530
1280	453	1	1463304636
1162	1079	1	1463131165
266	266	1	1461693659
990	1162	1	1462860727
1622	1162	1	1463592428
223	1162	1	1463643116
412	1775	1	1462892287
412	1281	1	1462892287
1162	1603	1	1437637230
1629	1629	1	1461766590
228	1162	1	1463456235
693	453	1	1463901430
1773	453	1	1463717922
453	872	1	1462880253
137	1162	1	1462775438
1040	1882	1	1463686784
1040	1958	1	1463686784
1040	1162	1	1463686784
1040	1380	1	1463686784
453	872	1	1462200114
1629	1629	1	1462271465
1673	56	1	1461836793
1162	704	1	1463408810
453	1818	1	1464009073
453	359	1	1463592620
1162	763	1	1461678066
1040	430	1	1461844909
1040	1162	1	1461844909
1040	1380	1	1461844909
704	453	1	1462248379
1590	715	1	1461578851
1162	1773	1	1461931536
512	512	1	1462243295
1622	1162	1	1437475005
1622	548	1	1437475005
767	1162	1	1461815877
453	1590	1	1462974348
1331	1591	1	1462377614
1331	900	1	1462377614
1331	1073	1	1462377614
1331	358	1	1462377614
1331	573	1	1462377614
1331	245	1	1462377614
1331	1161	1	1462377614
1331	453	1	1462377614
1331	410	1	1462377614
996	453	1	1462277251
137	1162	1	1463642296
715	453	1	1462859808
228	1162	1	1464059550
245	1061	1	1461902489
245	410	1	1461902489
245	453	1	1461902489
245	329	1	1461902489
245	1912	1	1461902489
245	1591	1	1461902489
245	1993	1	1461902489
245	1773	1	1461902489
1162	898	1	1463599221
1162	1652	1	1444738648
359	453	1	1463680415
453	631	1	1462796728
1162	2033	1	1462347306
499	1162	1	1463929538
2033	453	1	1463460017
1331	1591	1	1462550411
1331	900	1	1462550411
1331	1073	1	1462550411
1331	358	1	1462550411
1331	573	1	1462550411
1331	245	1	1462550411
1331	1161	1	1462550411
1331	453	1	1462550411
1331	410	1	1462550411
87	1162	1	1463983401
1162	359	1	1464009309
1040	1448	1	1461513356
1040	80	1	1461513356
1040	1162	1	1461513356
1040	1380	1	1461513356
844	1154	1	1463974432
844	25	1	1463974432
223	1162	1	1461694022
1629	1629	1	1461669534
844	1154	1	1461902771
1673	453	1	1463116830
1673	1554	1	1463116830
2004	1154	1	1462429828
2004	217	1	1462429828
2004	1948	1	1462429828
1085	453	1	1463738408
1085	1673	1	1463738408
1085	1818	1	1463738408
1162	279	1	1462824388
1695	453	1	1462720008
1162	329	1	1462358272
1162	2033	1	1462358272
1514	1673	1	1464005522
1514	453	1	1464005522
1514	693	1	1464005522
453	1818	1	1462081176
512	512	1	1461897173
223	1162	1	1462542054
5	1162	1	1463565911
453	1079	1	1462337536
1162	994	1	1462534780
1162	1962	1	1462534780
1629	1629	1	1462310575
1040	80	1	1461788729
1040	1448	1	1461788729
1040	1198	1	1461788729
1040	1309	1	1461788729
1040	1380	1	1461788729
1040	1162	1	1461788729
1040	1987	1	1461788729
1162	898	1	1463736909
137	1162	1	1463550008
1887	1673	1	1462993148
844	1154	1	1463575582
137	1162	1	1463985038
1673	872	1	1462352694
1673	715	1	1462352694
1040	80	1	1462279407
1040	1448	1	1462279407
1040	1198	1	1462279407
1040	1309	1	1462279407
1040	1380	1	1462279407
1040	1162	1	1462279407
1040	1987	1	1462279407
1162	1280	1	1463469271
631	704	1	1463734787
223	1162	1	1462854474
342	453	1	1461941699
1629	1629	1	1461776793
1040	80	1	1462262107
1040	1448	1	1462262107
1040	1198	1	1462262107
1040	1309	1	1462262107
1040	1380	1	1462262107
1040	1162	1	1462262107
1040	1987	1	1462262107
329	453	1	1462429535
704	996	1	1462249857
1818	453	1	1462345534
1554	693	1	1461560487
453	56	1	1463460698
1372	1123	1	1461913383
1372	465	1	1461913383
1372	14	1	1461913383
1372	1580	1	1461913383
1372	203	1	1461913383
1372	642	1	1461913383
1372	410	1	1461913383
1372	797	1	1461913383
1372	1880	1	1461913383
1372	272	1	1461913383
1372	165	1	1461913383
1372	1326	1	1461913383
1372	586	1	1461913383
1372	855	1	1461913383
1372	47	1	1461913383
1372	120	1	1461913383
1372	1002	1	1461913383
1372	453	1	1461913383
1372	1022	1	1461913383
1372	1993	1	1461913383
1372	1900	1	1461913383
1372	1590	1	1461913383
1372	1261	1	1461913383
1372	1797	1	1461913383
1372	1591	1	1461913383
1372	1434	1	1461913383
1372	1674	1	1461913383
1372	983	1	1461913383
1372	306	1	1461913383
1372	692	1	1461913383
1372	1748	1	1461913383
1372	329	1	1461913383
1372	1969	1	1461913383
1372	419	1	1461913383
1372	559	1	1461913383
1372	412	1	1461913383
1372	1505	1	1461913383
1372	820	1	1461913383
1372	266	1	1461913383
1372	1438	1	1461913383
1372	217	1	1461913383
1372	1471	1	1461913383
1372	25	1	1461913383
1372	457	1	1461913383
1372	1526	1	1461913383
1372	893	1	1461913383
1372	1244	1	1461913383
1372	24	1	1461913383
1372	1982	1	1461913383
1372	512	1	1461913383
1372	1444	1	1461913383
1372	1182	1	1461913383
1372	1845	1	1461913383
1162	155	1	1463504808
129	1162	1	1461591943
1342	453	1	1463072378
586	1469	1	1463135887
499	1162	1	1461510330
1280	85	1	1463640178
1	453	1	1463390181
715	1785	1	1461588236
453	359	1	1462340710
217	1154	1	1461841145
217	844	1	1461841145
767	1162	1	1463024284
453	1280	1	1462881484
1123	1361	1	1462950006
1123	801	1	1462950006
351	453	1	1463482260
501	1162	1	1461750185
820	31	1	1461918921
217	1154	1	1462289021
217	1948	1	1462289021
1162	847	1	1427200832
1158	894	1	1461850053
1629	1629	1	1462900979
5	1162	1	1463047387
453	898	1	1462245526
1280	453	1	1463294875
179	453	1	1462465498
1162	1204	1	1461690296
1622	1162	1	1462785940
1622	548	1	1462785940
476	693	1	1461570256
1040	80	1	1462366166
1040	1448	1	1462366166
1040	1198	1	1462366166
1040	1309	1	1462366166
1040	1380	1	1462366166
1040	1162	1	1462366166
1040	1987	1	1462366166
499	1162	1	1463583954
1678	257	1	1463400806
1678	1182	1	1463400806
1678	203	1	1463400806
1678	410	1	1463400806
1678	797	1	1463400806
1678	329	1	1463400806
1678	24	1	1463400806
1678	1993	1	1463400806
1678	419	1	1463400806
1678	412	1	1463400806
1678	1590	1	1463400806
1678	306	1	1463400806
1678	1797	1	1463400806
1678	1591	1	1463400806
1678	855	1	1463400806
1678	465	1	1463400806
1678	1773	1	1463400806
1678	1880	1	1463400806
1678	820	1	1463400806
155	453	1	1463850655
1162	1753	1	1463060769
1673	56	1	1461559772
1629	1629	1	1462993576
1524	453	1	1462197006
1162	1530	1	1461826134
1162	704	1	1461826134
359	802	1	1463152348
359	453	1	1463152348
1290	453	1	1463572824
2033	453	1	1461436113
453	584	1	1462264771
5	1162	1	1464084184
872	453	1	1462333174
1673	56	1	1462441514
635	1673	1	1462372010
453	1673	1	1462924408
453	1818	1	1462924408
453	715	1	1462924408
1495	1162	1	1462881908
1331	1591	1	1462809648
1331	900	1	1462809648
1331	1073	1	1462809648
1331	358	1	1462809648
1331	573	1	1462809648
1331	245	1	1462809648
1331	1161	1	1462809648
1331	453	1	1462809648
1331	410	1	1462809648
223	1162	1	1462497653
129	1162	1	1463405159
444	1162	1	1462309955
1280	877	1	1462360830
1280	1027	1	1462360830
1280	667	1	1462360830
1280	37	1	1462360830
1280	1625	1	1462360830
453	693	1	1463668244
1162	838	1	1464085754
453	178	1	1463056375
1673	453	1	1464069398
885	1912	1	1461748544
885	386	1	1461748544
885	1428	1	1461748544
885	1309	1	1461748544
885	1380	1	1461748544
885	1162	1	1461748544
885	246	1	1461748544
1162	1679	1	1462534650
97	453	1	1463399752
97	1280	1	1463399752
1040	80	1	1462454495
1040	1448	1	1462454495
1040	1198	1	1462454495
1040	1309	1	1462454495
1040	1380	1	1462454495
1040	1162	1	1462454495
1040	1987	1	1462454495
1162	1484	1	1427198573
1526	1154	1	1464024905
1526	844	1	1464024905
1805	1162	1	1461557048
363	1162	1	1463298431
1629	1629	1	1461961174
767	1162	1	1462246382
453	179	1	1461909795
1040	1987	1	1464007552
1040	1598	1	1464007552
1040	1162	1	1464007552
1040	1380	1	1464007552
1162	905	1	1462358038
885	449	1	1463208437
885	1162	1	1463208437
885	1380	1	1463208437
453	1290	1	1462728501
228	1162	1	1463024818
1629	1629	1	1462394548
715	2033	1	1461437595
1673	1852	1	1461777808
844	1154	1	1463924451
1408	1162	1	1462193316
1673	1962	1	1462958912
1868	453	1	1463085229
1162	872	1	1442517368
1040	1699	1	1462953913
1040	1162	1	1462953913
1040	1380	1	1462953913
1372	1372	1	1463020644
453	1290	1	1461679338
1040	80	1	1462263794
1040	1448	1	1462263794
1040	1198	1	1462263794
1040	1309	1	1462263794
1040	1380	1	1462263794
1040	1162	1	1462263794
1040	1987	1	1462263794
87	1162	1	1461650567
1818	453	1	1464002127
1629	1629	1	1462476022
453	56	1	1462365258
137	1162	1	1464084053
584	453	1	1462265918
570	872	1	1462912872
570	424	1	1462912872
570	453	1	1462912872
453	704	1	1462245280
1902	1280	1	1462972796
1880	31	1	1463466348
1880	1147	1	1463466348
1763	1162	1	1462774925
1290	453	1	1462882131
1622	1774	1	1463482492
1622	1162	1	1463482492
266	266	1	1461690406
1797	1775	1	1462892719
453	1797	1	1463395821
1673	453	1	1461759101
1629	1629	1	1463681891
972	453	1	1462712384
844	1154	1	1463737069
1444	1629	1	1462642741
1673	1887	1	1462959801
1162	359	1	1463138086
872	453	1	1463473642
1040	1987	1	1462786456
1040	1598	1	1462786456
1040	1162	1	1462786456
1040	1380	1	1462786456
1455	1162	1	1462185247
1629	1629	1	1463772951
693	453	1	1461576583
1290	453	1	1462471592
1836	453	1	1461752657
1818	453	1	1463681236
1444	1845	1	1463506288
453	693	1	1463901387
693	56	1	1462516415
693	693	1	1462516415
353	453	1	1461934883
1162	872	1	1462784922
872	453	1	1462206937
245	1061	1	1462508925
245	410	1	1462508925
245	453	1	1462508925
245	329	1	1462508925
245	1912	1	1462508925
245	1591	1	1462508925
245	1993	1	1462508925
245	1773	1	1462508925
1162	209	1	1461659464
1281	1775	1	1462892499
1281	412	1	1462892499
1281	1002	1	1462892499
1162	1590	1	1461589876
453	2033	1	1462782018
453	631	1	1461678209
1331	1591	1	1463500819
1331	900	1	1463500819
1331	1073	1	1463500819
1331	358	1	1463500819
1331	573	1	1463500819
1331	245	1	1463500819
1331	1161	1	1463500819
1331	453	1	1463500819
1331	410	1	1463500819
1311	1162	1	1463644962
87	1162	1	1461564195
1673	56	1	1461913285
453	631	1	1461728965
808	1162	1	1462509174
1924	1162	1	1464128703
1162	14	1	1463144092
1162	1665	1	1463144092
1162	329	1	1463144092
1162	1880	1	1463144092
1162	1993	1	1463144092
1162	1590	1	1463144092
1162	1773	1	1463144092
1554	1773	1	1462776859
1554	329	1	1462776859
1554	1540	1	1462776859
1554	1993	1	1462776859
1280	453	1	1461569815
1162	1673	1	1461833820
1947	704	1	1463496293
885	449	1	1463734884
885	1162	1	1463734884
885	1380	1	1463734884
1331	715	1	1461859219
1331	453	1	1461859219
476	693	1	1461559251
1673	931	1	1463547744
512	512	1	1462416721
1818	453	1	1462439585
1342	453	1	1462910963
1162	872	1	1461749771
1162	996	1	1461749771
1162	780	1	1461587132
1372	1123	1	1461567829
1372	465	1	1461567829
1372	14	1	1461567829
1372	1580	1	1461567829
1372	203	1	1461567829
1372	642	1	1461567829
1372	410	1	1461567829
1372	797	1	1461567829
1372	1880	1	1461567829
1372	272	1	1461567829
1372	165	1	1461567829
1372	1326	1	1461567829
1372	586	1	1461567829
1372	855	1	1461567829
1372	47	1	1461567829
1372	120	1	1461567829
1372	1002	1	1461567829
1372	453	1	1461567829
1372	1022	1	1461567829
1372	1993	1	1461567829
1372	1900	1	1461567829
1372	1590	1	1461567829
1372	1261	1	1461567829
1372	1797	1	1461567829
1372	1591	1	1461567829
1372	1434	1	1461567829
1372	1674	1	1461567829
1372	983	1	1461567829
1372	306	1	1461567829
1372	692	1	1461567829
1372	1748	1	1461567829
1372	329	1	1461567829
1372	1969	1	1461567829
1372	419	1	1461567829
1372	559	1	1461567829
1372	412	1	1461567829
1372	1505	1	1461567829
1372	820	1	1461567829
1372	266	1	1461567829
1372	1438	1	1461567829
1372	217	1	1461567829
1372	1471	1	1461567829
1372	25	1	1461567829
1372	457	1	1461567829
1372	1526	1	1461567829
1372	893	1	1461567829
1372	1244	1	1461567829
1372	24	1	1461567829
1372	1982	1	1461567829
1372	512	1	1461567829
